state,x,y
Alabama,138.0,-81.0
Alaska,-213.0,-179.0
Arizona,-201.0,-39.0
Arkansas,57.0,-51.0
California,-290.0,-1.0
Colorado,-112.0,27.0
Connecticut,294.0,94.0
Delaware,273.0,48.0
Florida,225.0,-157.0
Georgia,188.0,-78.0
Hawaii,-316.0,-145.0
Idaho,-211.0,113.0
Illinois,94.0,43.0
Indiana,134.0,43.0
Iowa,41.0,71.0
Kansas,-22.0,10.0
Kentucky,149.0,-1.0
Louisiana,64.0,-123.0
Maine,321.0,169.0
Maryland,275.0,32.0
Massachusetts,300.0,110.0
Michigan,146.0,104.0
Minnesota,27.0,155.0
Mississippi,92.0,-102.0
Missouri,57.0,12.0
Montana,-146.0,161.0
Nebraska,-42.0,64.0
Nevada,-253.0,59.0
New Hampshire,300.0,128.0
New Jersey,281.0,68.0
New Mexico,-126.0,-50.0
New York,246.0,104.0
North Carolina,229.0,-19.0
North Dakota,-39.0,160.0
Ohio,175.0,50.0
Oklahoma,-10.0,-40.0
Oregon,-282.0,137.0
Pennsylvania,227.0,70.0
Rhode Island,311.0,101.0
South Carolina,218.0,-49.0
South Dakota,-42.0,111.0
Tennessee,136.0,-30.0
Texas,-37.0,-105.0
Utah,-186.0,40.0
Vermont,285.0,145.0
Virginia,237.0,17.0
Washington,-264.0,193.0
West Virginia,205.0,27.0
Wisconsin,76.0,123.0
Wyoming,-131.0,95.0
